Time	XCoord	YCoord	VideoName
385329	-33728	33368	4T-D4-ND-F-BL.mpeg
385347	-33728	33368	4T-D4-ND-F-BL.mpeg
385367	-33728	33368	4T-D4-ND-F-BL.mpeg
385387	-33728	33368	4T-D4-ND-F-BL.mpeg
385407	-33728	33368	4T-D4-ND-F-BL.mpeg
385427	-33728	33368	4T-D4-ND-F-BL.mpeg
385447	-33728	33368	4T-D4-ND-F-BL.mpeg
385467	-33728	33368	4T-D4-ND-F-BL.mpeg
385487	-33728	33368	4T-D4-ND-F-BL.mpeg
385507	-33728	33368	4T-D4-ND-F-BL.mpeg
385528	-33728	33368	4T-D4-ND-F-BL.mpeg
385547	-33728	33368	4T-D4-ND-F-BL.mpeg
385567	-33728	33368	4T-D4-ND-F-BL.mpeg
385587	-33728	33368	4T-D4-ND-F-BL.mpeg
385607	-33728	33368	4T-D4-ND-F-BL.mpeg
385627	-33728	33368	4T-D4-ND-F-BL.mpeg
385647	-33728	33368	4T-D4-ND-F-BL.mpeg
385667	-33728	33368	4T-D4-ND-F-BL.mpeg
385687	-33728	33368	4T-D4-ND-F-BL.mpeg
385707	-33728	33368	4T-D4-ND-F-BL.mpeg
385727	-33728	33368	4T-D4-ND-F-BL.mpeg
385747	-33728	33368	4T-D4-ND-F-BL.mpeg
385870	-33728	33368	4T-D4-ND-F-BL.mpeg
385887	-33728	33368	4T-D4-ND-F-BL.mpeg
385907	-33728	33368	4T-D4-ND-F-BL.mpeg
385927	-33728	33368	4T-D4-ND-F-BL.mpeg
385947	-33728	33368	4T-D4-ND-F-BL.mpeg
385967	-33728	33368	4T-D4-ND-F-BL.mpeg
385987	-33728	33368	4T-D4-ND-F-BL.mpeg
386007	-33728	33368	4T-D4-ND-F-BL.mpeg
386027	-33728	33368	4T-D4-ND-F-BL.mpeg
386047	-33728	33368	4T-D4-ND-F-BL.mpeg
386067	-33728	33368	4T-D4-ND-F-BL.mpeg
386087	-33728	33368	4T-D4-ND-F-BL.mpeg
386107	-33728	33368	4T-D4-ND-F-BL.mpeg
386127	-33728	33368	4T-D4-ND-F-BL.mpeg
386147	-33728	33368	4T-D4-ND-F-BL.mpeg
386235	-33728	33368	4T-D4-ND-F-BL.mpeg
386247	-33728	33368	4T-D4-ND-F-BL.mpeg
386267	-33728	33368	4T-D4-ND-F-BL.mpeg
386287	-33728	33368	4T-D4-ND-F-BL.mpeg
386307	-33728	33368	4T-D4-ND-F-BL.mpeg
386327	-33728	33368	4T-D4-ND-F-BL.mpeg
386347	-33728	33368	4T-D4-ND-F-BL.mpeg
386367	-33728	33368	4T-D4-ND-F-BL.mpeg
386387	-33728	33368	4T-D4-ND-F-BL.mpeg
386407	-33728	33368	4T-D4-ND-F-BL.mpeg
386427	-33728	33368	4T-D4-ND-F-BL.mpeg
386447	-33728	33368	4T-D4-ND-F-BL.mpeg
386467	-33728	33368	4T-D4-ND-F-BL.mpeg
386487	-33728	33368	4T-D4-ND-F-BL.mpeg
386507	-33728	33368	4T-D4-ND-F-BL.mpeg
386527	-33728	33368	4T-D4-ND-F-BL.mpeg
386547	-33728	33368	4T-D4-ND-F-BL.mpeg
386633	-33728	33368	4T-D4-ND-F-BL.mpeg
386647	-33728	33368	4T-D4-ND-F-BL.mpeg
386667	-33728	33368	4T-D4-ND-F-BL.mpeg
386687	-33728	33368	4T-D4-ND-F-BL.mpeg
386707	-33728	33368	4T-D4-ND-F-BL.mpeg
386727	-33728	33368	4T-D4-ND-F-BL.mpeg
386747	-33728	33368	4T-D4-ND-F-BL.mpeg
386767	-33728	33368	4T-D4-ND-F-BL.mpeg
386787	-33728	33368	4T-D4-ND-F-BL.mpeg
386808	-33728	33368	4T-D4-ND-F-BL.mpeg
386827	-33728	33368	4T-D4-ND-F-BL.mpeg
386847	-33728	33368	4T-D4-ND-F-BL.mpeg
386867	-33728	33368	4T-D4-ND-F-BL.mpeg
386887	-33728	33368	4T-D4-ND-F-BL.mpeg
386907	-33728	33368	4T-D4-ND-F-BL.mpeg
386927	-33728	33368	4T-D4-ND-F-BL.mpeg
386947	-33728	33368	4T-D4-ND-F-BL.mpeg
387034	-33728	33368	4T-D4-ND-F-BL.mpeg
387047	-33728	33368	4T-D4-ND-F-BL.mpeg
387067	-33728	33368	4T-D4-ND-F-BL.mpeg
387087	-33728	33368	4T-D4-ND-F-BL.mpeg
387107	-33728	33368	4T-D4-ND-F-BL.mpeg
387127	-33728	33368	4T-D4-ND-F-BL.mpeg
387147	-33728	33368	4T-D4-ND-F-BL.mpeg
387167	-33728	33368	4T-D4-ND-F-BL.mpeg
387187	-33728	33368	4T-D4-ND-F-BL.mpeg
387207	-33728	33368	4T-D4-ND-F-BL.mpeg
387227	-33728	33368	4T-D4-ND-F-BL.mpeg
387247	-33728	33368	4T-D4-ND-F-BL.mpeg
387267	-33728	33368	4T-D4-ND-F-BL.mpeg
387287	-33728	33368	4T-D4-ND-F-BL.mpeg
387307	-33728	33368	4T-D4-ND-F-BL.mpeg
387327	-33728	33368	4T-D4-ND-F-BL.mpeg
387347	-33728	33368	4T-D4-ND-F-BL.mpeg
387434	-33728	33368	4T-D4-ND-F-BL.mpeg
387447	-33728	33368	4T-D4-ND-F-BL.mpeg
387467	-33728	33368	4T-D4-ND-F-BL.mpeg
387487	-33728	33368	4T-D4-ND-F-BL.mpeg
387507	-33728	33368	4T-D4-ND-F-BL.mpeg
387527	-33728	33368	4T-D4-ND-F-BL.mpeg
387547	-33728	33368	4T-D4-ND-F-BL.mpeg
387567	-33728	33368	4T-D4-ND-F-BL.mpeg
387587	-33728	33368	4T-D4-ND-F-BL.mpeg
387607	-33728	33368	4T-D4-ND-F-BL.mpeg
387627	-33728	33368	4T-D4-ND-F-BL.mpeg
387647	-33728	33368	4T-D4-ND-F-BL.mpeg
387667	-33728	33368	4T-D4-ND-F-BL.mpeg
387687	-33728	33368	4T-D4-ND-F-BL.mpeg
387707	-33728	33368	4T-D4-ND-F-BL.mpeg
387727	-33728	33368	4T-D4-ND-F-BL.mpeg
387747	-33728	33368	4T-D4-ND-F-BL.mpeg
387834	-33728	33368	4T-D4-ND-F-BL.mpeg
387847	-33728	33368	4T-D4-ND-F-BL.mpeg
387867	-33728	33368	4T-D4-ND-F-BL.mpeg
387887	-33728	33368	4T-D4-ND-F-BL.mpeg
387907	-33728	33368	4T-D4-ND-F-BL.mpeg
387927	-33728	33368	4T-D4-ND-F-BL.mpeg
387947	-33728	33368	4T-D4-ND-F-BL.mpeg
387967	-33728	33368	4T-D4-ND-F-BL.mpeg
387987	-33728	33368	4T-D4-ND-F-BL.mpeg
388007	-33728	33368	4T-D4-ND-F-BL.mpeg
388027	-33728	33368	4T-D4-ND-F-BL.mpeg
388047	-33728	33368	4T-D4-ND-F-BL.mpeg
388067	-33728	33368	4T-D4-ND-F-BL.mpeg
388088	-33728	33368	4T-D4-ND-F-BL.mpeg
388107	-33728	33368	4T-D4-ND-F-BL.mpeg
388127	-33728	33368	4T-D4-ND-F-BL.mpeg
388147	-33728	33368	4T-D4-ND-F-BL.mpeg
388234	-33728	33368	4T-D4-ND-F-BL.mpeg
388247	-33728	33368	4T-D4-ND-F-BL.mpeg
388267	-33728	33368	4T-D4-ND-F-BL.mpeg
388287	-33728	33368	4T-D4-ND-F-BL.mpeg
388307	-33728	33368	4T-D4-ND-F-BL.mpeg
388327	-33728	33368	4T-D4-ND-F-BL.mpeg
